hhid,cash,female,age25,schooling,health
1,0,1,1,0,1.0934666
2,0,1,0,1,1.1367481
3,0,0,1,1,-.043589015
4,0,1,1,0,-.43985766
5,0,1,0,0,1.1367481
6,0,1,1,0,1.1367481
7,0,0,1,0,1.1367481
8,0,1,0,1,-1.4067875
9,0,1,0,1,1.1367481
10,0,1,1,1,.12673637
11,0,1,0,1,.54824615
12,0,1,1,0,-2.0632956
13,0,1,1,0,1.0289741
14,0,1,1,0,-2.1388061
15,0,1,0,0,1.1367481
16,0,1,1,0,.026748961
17,0,0,0,0,.34607261
18,0,1,1,0,1.1367481
19,0,1,1,0,.23451045
20,0,1,1,1,.23451045
21,0,1,1,0,-1.4222752
22,0,0,1,1,.81249249
23,0,1,0,0,.82840961
24,0,1,1,0,.019568002
25,0,1,1,1,-1.9712602
26,0,1,1,0,-1.8733943
27,0,1,0,0,.3818689
28,0,1,1,0,-.15130965
29,0,0,1,1,1.1240603
30,0,1,1,0,.68562925
31,0,1,0,0,1.1212603
32,0,1,1,0,.011261161
33,0,0,1,0,-.44183025
34,0,0,1,0,.47725689
35,0,1,1,1,.21902265
36,0,1,1,0,-1.351385
37,0,0,1,0,.18105705
38,0,1,1,1,.37009373
39,0,1,0,1,.9691413
40,0,1,1,1,-1.4067875
41,0,1,0,0,.47786784
42,0,0,1,1,-.07537128
43,0,1,1,1,-.096512876
44,0,1,1,0,.054542679
45,0,1,1,1,.075959258
46,0,0,1,0,.16646953
47,0,1,1,0,.026748961
48,0,1,1,0,-2.5806608
49,0,0,1,1,.9691413
50,0,1,0,0,1.1367481
51,0,1,1,0,-1.6971234
52,0,0,0,1,.092521481
53,0,0,1,1,.066903606
54,0,1,1,1,-2.8721173
55,0,1,1,0,.23451045
56,0,0,1,1,.75908273
57,0,1,1,1,.49400166
58,0,0,1,1,1.1240603
59,0,1,1,0,-1.8733943
60,0,1,1,1,.054542679
61,0,0,1,1,1.1094729
62,0,1,1,0,.21902265
63,0,0,1,1,.99287611
64,0,1,1,0,1.1367481
65,0,0,1,1,1.1240603
66,0,1,0,0,1.1367481
67,0,1,0,0,-.12801924
68,0,1,0,1,.011261161
69,0,1,0,1,1.1367481
70,0,1,1,0,.026748961
71,0,0,1,1,.18105705
72,0,0,1,1,.22182262
73,0,0,1,0,.91400182
74,0,0,1,1,.90437174
75,0,0,1,1,.67294145
76,0,1,1,1,-.69165736
77,0,1,0,1,.80457652
78,0,0,1,0,-.96866047
79,0,1,1,0,-.35575581
80,0,1,1,0,-.5791381
81,0,1,0,1,-.046034373
82,0,0,1,0,-.081203498
83,0,1,1,0,1.1240603
84,0,1,0,0,.23451045
85,0,0,1,0,-.26771757
86,0,0,1,1,.22182262
87,0,1,0,0,1.1367481
88,0,0,1,1,.066903606
89,0,0,1,1,-.24388373
90,0,0,0,1,-.46043277
91,0,1,1,0,-.18163006
92,0,0,1,1,.026138015
93,0,1,1,0,1.1367481
94,0,0,1,1,.83601367
95,0,1,1,0,-1.5996786
96,0,1,1,0,1.1367481
97,0,1,0,0,.070030466
98,0,1,1,1,-.38315174
99,0,1,1,1,.066903606
100,0,0,1,1,1.1240603
101,0,0,1,1,-.37157109
102,0,1,0,0,.21902265
103,0,0,1,1,1.1094729
104,0,1,0,1,.21902265
105,0,0,1,0,.22182262
106,0,1,1,0,.3818689
107,0,1,1,0,1.1367481
108,0,1,1,0,.070030466
109,0,1,1,0,-3.7352245
110,0,1,1,0,.23451045
111,0,0,1,0,.22182262
112,0,1,1,0,.011261161
113,0,1,1,0,-.42394766
114,0,1,1,0,.2279509
115,0,0,1,1,1.1240603
116,0,1,1,0,1.1367481
117,0,0,1,0,-.38421524
118,0,1,1,1,.23451045
119,0,0,1,1,.96719795
120,0,0,1,0,.20723511
121,0,1,1,0,.070030466
122,0,0,1,0,.67014152
123,0,1,1,1,-.17251207
124,0,0,1,0,1.1240603
125,0,1,1,0,.23451045
126,0,0,1,0,.0012926385
127,0,1,1,1,-2.3867526
128,0,1,1,0,.095230021
129,0,1,1,0,.23451045
130,0,1,1,0,-.18799984
131,0,0,1,1,-.42399156
132,0,1,0,0,.026748961
133,0,1,1,0,-1.1067243
134,0,0,1,1,.22182262
135,0,1,1,0,-.68293971
136,0,1,1,0,.68562925
137,0,1,1,1,1.1367481
138,0,0,1,1,.32706046
139,0,1,0,1,1.1367481
140,0,0,1,1,1.1240603
141,0,1,0,1,1.1367481
142,0,1,1,0,.41337529
