hhid,eligible,time,cash,female,age25,schooling,health
1,1,0,1,1,0,1,1.26993
1,1,1,1,1,0,1,-.57012212
2,1,0,1,0,1,0,1.26993
2,1,1,1,0,1,0,.34990394
3,1,0,1,0,1,0,1.26993
3,1,1,1,0,1,0,1.26993
4,0,0,1,0,1,0,-.57012212
4,0,1,1,0,1,0,1.26993
5,0,0,1,1,1,1,-.57012212
5,0,1,1,1,1,1,1.26993
6,1,0,1,0,0,1,-.57012212
6,1,1,1,0,0,1,-.57012212
7,0,0,1,1,1,0,1.26993
7,0,1,1,1,1,0,-.57012212
8,1,0,1,1,1,0,-.57012212
8,1,1,1,1,1,0,.34990394
9,0,0,1,0,1,0,-1.4901482
9,0,1,1,0,1,0,-2.4101741
10,1,0,1,1,1,1,-.57012212
10,1,1,1,1,1,1,-.57012212
11,1,0,1,1,1,1,-.57012212
11,1,1,1,1,1,1,-.57012212
12,1,0,1,0,0,1,-.57012212
12,1,1,1,0,0,1,1.26993
13,1,0,1,1,1,0,1.26993
13,1,1,1,1,1,0,-.57012212
14,0,0,1,1,1,0,-.57012212
14,0,1,1,1,1,0,-1.4901482
15,1,0,1,0,1,0,-.57012212
15,1,1,1,0,1,0,.34990394
16,0,0,1,1,1,0,-1.4901482
16,0,1,1,1,1,0,-.57012212
17,0,0,1,1,1,0,-.57012212
17,0,1,1,1,1,0,-.57012212
18,1,0,1,1,0,1,-.57012212
18,1,1,1,1,0,1,.34990394
19,1,0,1,0,1,1,-1.4901482
19,1,1,1,0,1,1,-2.4101741
20,1,0,1,1,0,1,-.57012212
20,1,1,1,1,0,1,-1.4901482
21,1,0,1,1,1,0,-1.4901482
21,1,1,1,1,1,0,-1.4901482
22,1,0,1,1,0,1,-.57012212
22,1,1,1,1,0,1,1.26993
23,0,0,1,1,1,0,1.26993
23,0,1,1,1,1,0,-1.4901482
24,0,0,1,1,1,1,1.26993
24,0,1,1,1,1,1,1.26993
25,1,0,1,1,0,1,1.26993
25,1,1,1,1,0,1,-.57012212
26,0,0,1,0,1,1,1.26993
26,0,1,1,0,1,1,1.26993
27,1,0,1,1,0,1,-.57012212
27,1,1,1,1,0,1,.34990394
28,0,0,1,1,1,1,-.57012212
28,0,1,1,1,1,1,.34990394
29,0,0,1,1,1,0,-.57012212
29,0,1,1,1,1,0,1.26993
30,1,0,1,0,1,0,-.57012212
30,1,1,1,0,1,0,1.26993
31,1,0,1,0,1,1,-1.4901482
31,1,1,1,0,1,1,-.57012212
32,0,0,1,1,1,0,-1.4901482
32,0,1,1,1,1,0,1.26993
33,0,0,1,1,1,0,1.26993
33,0,1,1,1,1,0,-.57012212
34,1,0,1,1,1,1,.34990394
34,1,1,1,1,1,1,1.26993
35,0,0,1,0,1,1,-.57012212
35,0,1,1,0,1,1,-.57012212
36,1,0,1,1,1,1,1.26993
36,1,1,1,1,1,1,-.57012212
37,1,0,1,0,1,0,1.26993
37,1,1,1,0,1,0,1.26993
